FID,x,y,adr_pelny,ogolem
42586,20.07532935,50.09325162,KAROLA DARWINA 7,1
46856,20.07517331,50.09338,KAROLA DARWINA 9,1
41658,20.07416261,50.09413873,KAROLA DARWINA 9A,2
17514,20.0654153,50.09725622,KOCMYRZOWSKA 21,5
17515,20.06533896,50.09750288,KOCMYRZOWSKA 23,5
36358,20.0654938,50.09804288,KOCMYRZOWSKA 25,2
14497,20.06559718,50.09819324,KOCMYRZOWSKA 25A,6
8309,20.06695183,50.09986905,KOCMYRZOWSKA 27A,13
9389,20.067136,50.10003053,KOCMYRZOWSKA 27B,11
6386,20.06740715,50.10012422,KOCMYRZOWSKA 27C,21
7990,20.066945,50.10020516,KOCMYRZOWSKA 27D,14
9603,20.06671097,50.10000147,KOCMYRZOWSKA 27E,10
29437,20.07289625,50.10544257,KOCMYRZOWSKA 39,3
28688,20.07817199,50.10114261,KSI?DZA JANA HYCA 5,4
27994,20.07835522,50.10080531,KSI?DZA JANA HYCA 8,4
17164,20.07920318,50.10054311,KSI?DZA JANA HYCA 9,6
41628,20.07710848,50.09945748,KSI?DZA ZYGMUNTA KACZY?SKIEGO 12,2
47643,20.07820983,50.09995112,KSI?DZA ZYGMUNTA KACZY?SKIEGO 3,1
27701,20.07787014,50.10002347,KSI?DZA ZYGMUNTA KACZY?SKIEGO 4,4
29060,20.07795481,50.09972212,KSI?DZA ZYGMUNTA KACZY?SKIEGO 5,4
26649,20.07763712,50.0994722,KSI?DZA ZYGMUNTA KACZY?SKIEGO 7,4
28732,20.07156649,50.09449012,??CKA 12,4
39669,20.07257663,50.09511345,??CKA 4,2
32749,20.07249454,50.09465139,??CKA 5,3
46926,20.07241111,50.0949417,??CKA 6,1
26545,20.07218838,50.09446679,??CKA 7,4
19868,20.07216116,50.0947673,??CKA 8,5
29518,20.07518736,50.09252264,LUBOCKA 1,3
21493,20.07626933,50.09255378,LUBOCKA 1E,5
21227,20.07656791,50.09239247,LUBOCKA 1F,5
22207,20.07797099,50.09212504,LUBOCKA 2,4
27177,20.07683027,50.09243947,LUBOCKA 3,4
17590,20.07835824,50.09225813,LUBOCKA 4,5
11260,20.07812716,50.09265864,LUBOCKA 5A,8
35547,20.07795882,50.09299142,LUBOCKA 5B,3
36473,20.07837733,50.09303017,LUBOCKA 5C,2
29508,20.07856355,50.09236306,LUBOCKA 6,3
17594,20.07871436,50.09290818,LUBOCKA 7,5
22206,20.07882064,50.09249722,LUBOCKA 8,4
36474,20.07903801,50.09317571,LUBOCKA 9,2
13992,20.07731736,50.10198382,LUBORZYCKA 12,7
36420,20.07719009,50.10312737,LUBORZYCKA 15,2
34138,20.07740784,50.10227558,LUBORZYCKA 16,3
22869,20.07690273,50.10342838,LUBORZYCKA 17,4
29457,20.07720796,50.10347335,LUBORZYCKA 19,3
29462,20.07708806,50.10088181,LUBORZYCKA 2,3
10321,20.07743471,50.10242502,LUBORZYCKA 20,9
22169,20.07722205,50.1037643,LUBORZYCKA 21,4
11669,20.0771729,50.10400492,LUBORZYCKA 23,8
36280,20.07719343,50.1043928,LUBORZYCKA 25,2
22014,20.07676419,50.10460667,LUBORZYCKA 25A,4
17550,20.07767684,50.10294734,LUBORZYCKA 26,5
42592,20.07771697,50.10324495,LUBORZYCKA 30,1
46841,20.0781756,50.10518855,LUBORZYCKA 31B,1
18695,20.07763849,50.10351457,LUBORZYCKA 32,5
16740,20.07786968,50.10340184,LUBORZYCKA 32A,6
41630,20.07837236,50.10319118,LUBORZYCKA 32B,2
